CName:U1   CNum:101
  2000.0      1.0
  2002.0      0.0
  7000.0      0.0
CName:KC   CNum:152
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      1.0
  2000.0      1.0
  2002.0      0.0
  7000.0      0.0
CName:KD   CNum:153
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      1.0
  2000.0      1.0
  2002.0      0.0
  7000.0      0.0
CName:KE   CNum:154
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      1.0
  2000.0      1.0
  2002.0      0.0
  7000.0      0.0
CName:KF   CNum:155
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      1.0
  2000.0      1.0
  2002.0      0.0
  7000.0      0.0
CName:KG   CNum:156
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      1.0
  2000.0      1.0
  2002.0      0.0
  7000.0      0.0
CName:KH   CNum:157
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      1.0
  2000.0      1.0
  2002.0      0.0
  7000.0      0.0
CName:KI   CNum:158
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      1.0
  2000.0      1.0
  2002.0      0.0
  7000.0      0.0
CName:KJ   CNum:159
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      1.0
  2000.0      1.0
  2002.0      0.0
  7000.0      0.0
CName:KK   CNum:160
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      1.0
  2000.0      1.0
  2002.0      0.0
  7000.0      0.0
CName:J1   CNum:161
 -7000.0      0.0
 -2002.0      0.0
 -2000.0     10.0
  2000.0     10.0
  2002.0      0.0
  7000.0      0.0
CName:J2   CNum:162
 -7000.0      0.0
 -2002.0      0.0
 -2000.0     10.0
  2000.0     10.0
  2002.0      0.0
  7000.0      0.0
CName:J3   CNum:163
 -7000.0      0.0
 -2002.0      0.0
 -2000.0     10.0
  2000.0     10.0
  2002.0      0.0
  7000.0      0.0
CName:J4   CNum:164
 -7000.0      0.0
 -2002.0      0.0
 -2000.0     10.0
  2000.0     10.0
  2002.0      0.0
  7000.0      0.0
CName:J5   CNum:165
 -7000.0      0.0
 -2002.0      0.0
 -2000.0     10.0
  2000.0     10.0
  2002.0      0.0
  7000.0      0.0
CName:J6   CNum:166
 -7000.0      0.0
 -2002.0      0.0
 -2000.0     10.0
  2000.0     10.0
  2002.0      0.0
  7000.0      0.0
CName:J7   CNum:167
 -7000.0      0.0
 -2002.0      0.0
 -2000.0     10.0
  2000.0     10.0
  2002.0      0.0
  7000.0      0.0
CName:J8   CNum:168
 -7000.0      0.0
 -2002.0      0.0
 -2000.0     10.0
  2000.0     10.0
  2002.0      0.0
  7000.0      0.0
CName:J9   CNum:169
 -7000.0      0.0
 -2002.0      0.0
 -2000.0     10.0
  2000.0     10.0
  2002.0      0.0
  7000.0      0.0
CName:JA   CNum:170
 -7000.0      0.0
 -2002.0      0.0
 -2000.0     10.0
  2000.0     10.0
  2002.0      0.0
  7000.0      0.0
CName:JB   CNum:171
 -7000.0      0.0
 -2002.0      0.0
 -2000.0     10.0
  2000.0     10.0
  2002.0      0.0
  7000.0      0.0
CName:JC   CNum:172
 -7000.0      0.0
 -2002.0      0.0
 -2000.0     10.0
  2000.0     10.0
  2002.0      0.0
  7000.0      0.0
CName:JD   CNum:173
 -7000.0      0.0
 -2002.0      0.0
 -2000.0     10.0
  2000.0     10.0
  2002.0      0.0
  7000.0      0.0
CName:JE   CNum:174
 -7000.0      0.0
 -2002.0      0.0
 -2000.0     10.0
  2000.0     10.0
  2002.0      0.0
  7000.0      0.0
CName:JF   CNum:175
 -7000.0      0.0
 -2002.0      0.0
 -2000.0     10.0
  2000.0     10.0
  2002.0      0.0
  7000.0      0.0
CName:JG   CNum:176
 -7000.0      0.0
 -2002.0      0.0
 -2000.0     10.0
  2000.0     10.0
  2002.0      0.0
  7000.0      0.0
CName:JH   CNum:177
 -7000.0      0.0
 -2002.0      0.0
 -2000.0     10.0
  2000.0     10.0
  2002.0      0.0
  7000.0      0.0
CName:JI   CNum:178
 -7000.0      0.0
 -2002.0      0.0
 -2000.0     10.0
  2000.0     10.0
  2002.0      0.0
  7000.0      0.0
CName:JJ   CNum:179
 -7000.0      0.0
 -2002.0      0.0
 -2000.0     10.0
  2000.0     10.0
  2002.0      0.0
  7000.0      0.0
CName:JK   CNum:180
 -7000.0      0.0
 -2002.0      0.0
 -2000.0     10.0
  2000.0     10.0
  2002.0      0.0
  7000.0      0.0
CName:D1   CNum:181
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      5.0
  2000.0      5.0
  2002.0      0.0
  7000.0      0.0
CName:D2   CNum:182
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      5.0
  2000.0      5.0
  2002.0      0.0
  7000.0      0.0
CName:D3   CNum:183
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      5.0
  2000.0      5.0
  2002.0      0.0
  7000.0      0.0
CName:D4   CNum:184
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      5.0
  2000.0      5.0
  2002.0      0.0
  7000.0      0.0
CName:D5   CNum:185
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      5.0
  2000.0      5.0
  2002.0      0.0
  7000.0      0.0
CName:D6   CNum:186
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      5.0
  2000.0      5.0
  2002.0      0.0
  7000.0      0.0
CName:D7   CNum:187
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      5.0
  2000.0      5.0
  2002.0      0.0
  7000.0      0.0
CName:D8   CNum:188
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      5.0
  2000.0      5.0
  2002.0      0.0
  7000.0      0.0
CName:D9   CNum:189
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      5.0
  2000.0      5.0
  2002.0      0.0
  7000.0      0.0
CName:DA   CNum:190
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      5.0
  2000.0      5.0
  2002.0      0.0
  7000.0      0.0
CName:DB   CNum:191
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      5.0
  2000.0      5.0
  2002.0      0.0
  7000.0      0.0
CName:DC   CNum:192
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      5.0
  2000.0      5.0
  2002.0      0.0
  7000.0      0.0
CName:DD   CNum:193
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      5.0
  2000.0      5.0
  2002.0      0.0
  7000.0      0.0
CName:DE   CNum:194
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      5.0
  2000.0      5.0
  2002.0      0.0
  7000.0      0.0
CName:DF   CNum:195
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      5.0
  2000.0      5.0
  2002.0      0.0
  7000.0      0.0
CName:DG   CNum:196
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      5.0
  2000.0      5.0
  2002.0      0.0
  7000.0      0.0
CName:DH   CNum:197
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      5.0
  2000.0      5.0
  2002.0      0.0
  7000.0      0.0
CName:DI   CNum:198
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      5.0
  2000.0      5.0
  2002.0      0.0
  7000.0      0.0
CName:DJ   CNum:199
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      5.0
  2000.0      5.0
  2002.0      0.0
  7000.0      0.0
CName:DK   CNum:200
 -7000.0      0.0
 -2002.0      0.0
 -2000.0      5.0
  2000.0      5.0
  2002.0      0.0
  7000.0      0.0
CName:U0   CNum:201
 -7000.0      0.0
 -5002.0      0.0
 -5000.0      0.0
 -3200.0    400.0
     0.0    400.0
     0.0   -275.0
   180.0   -275.0
   700.0    -65.0
  1360.0    -30.0
  2300.0   -200.0
  3160.0    345.0
  4120.0    330.0
  4500.9      0.0
  4502.9      0.0
  7000.0      0.0
CName:I0   CNum:202
 -7000.0      0.0
 -5002.0      0.0
 -5000.0      0.0
 -3200.0     84.0
 -1260.0    100.5
     0.0    100.0
     2.0     57.5
   180.0     41.5
   700.0     19.5
  1360.0    -21.5
  2300.0    -50.0
  3160.0    -25.5
  4120.0      0.5
  4500.9      0.0
  4502.9      0.0
  7000.0      0.0
CName:MB   CNum:203
 -7000.0      0.0
 -4994.7      0.0
 -4992.7    -49.0
 -4922.4     42.0
 -4430.4     42.0
 -4140.0     45.0
 -3973.5     61.0
 -3740.0     49.0
 -3740.0     53.2
 -2977.7     54.7
 -1570.4     59.2
  -937.4     56.9
  1192.1     74.0
  2080.0     50.8
  2975.0     48.7
  3315.3     47.5
  4500.9   -133.1
  4502.9      0.0
  7000.0      0.0
CName:GP   CNum:204
 -7000.0      0.0
 -4994.7      0.0
 -4992.7    -49.0
 -4922.4     42.0
 -4430.4     42.0
 -4140.0     45.0
 -3973.5     61.0
 -3740.0     49.0
